Parlamentare,id,Partito,dataIngresso,520001,521001,521007,521015,521024,521002,521008,521011,521010,521014,521020,521003,521017,521013,521021,521009,521018,521019,521006,521016,521004,521005,521012,521025,521023,521022,529005,529003,529007,529006,529008,529002,529009,529001,529004,532013,532008,532016,532002,532026,532007,532025,532004,532023,532029,532017,532015,532030,532018,532009,532024,532006,532010,532011,532028,532019,532021,532027,532022,532003,532020,532001,532012,532014,532005,533002,533003,533004,533001,533005
CANNATELLI PASQUALE PIO GRAZIANO,307666,FI,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MORELLI ALESSANDRO,307668,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
FIDANZA CARLO,307670,FDI,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAMMI' STEFANIA,307672,M5S,2018-03-27,Favorevole,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Contrario,Non ha votato
OLGIATI RICCARDO,307674,M5S,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Favorevole,Contrario,Favorevole
NOJA LISA,307676,IV-IC'E',2019-09-19,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Favorevole,Contrario,Favorevole
ROSSELLO CRISTINA,307678,FI,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato
CECCHETTI FABRIZIO,307680,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole
BONIARDI FABIO MASSIMO,307682,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DARA ANDREA,307683,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato
CAPITANIO MASSIMILIANO,307685,LEGA,2018-03-27,Favorevole,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole
ANDREUZZA GIORGIA,307686,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato
FOGLIANI KETTY,307687,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Favorevole,Contrario,Favorevole
COIN DIMITRI,307688,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Non ha votato
BISA INGRID,307689,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Favorevole,Contrario,Favorevole
FANTUZ MARICA,307690,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
BADOLE MIRCO,307691,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Non ha votato
BARATTO RAFFAELE,307692,FI,2018-03-27,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Non ha votato,Contrario,Favorevole
VALLOTTO SERGIO,307694,LEGA,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Non ha votato,Contrario,Non ha votato
BAZZARO ALEX,307696,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole
COLMELLERE ANGELA,307698,LEGA,2018-03-27,Favorevole,Non ha votato,Non ha votato,Contrario,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Favorevole
MANZATO FRANCO,307700,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato
BOND DARIO,307702,FI,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato
PELLICANI NICOLA,307704,PD,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Favorevole,Contrario,Favorevole
MANIERO ALVISE,307706,MISTO,2018-03-23,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Astensione,Contrario,Non ha votato,Astensione,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Non ha votato,Favorevole,Non ha votato
DE CARLO LUCA,307708,FDI,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSINI EMANUELA,307710,MISTO,2018-03-23,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Non ha votato,Favorevole,Contrario,Favorevole
BINELLI DIEGO,307712,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Non ha votato
SEGNANA STEFANIA,307714,LEGA,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZANOTELLI GIULIA,307715,LEGA,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATTOI VANESSA,307716,LEGA,2018-03-27,Favorevole,Non ha votato,Non ha votato,Contrario,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato
FURGIUELE DOMENICO,307718,LEGA,2018-03-27,Favorevole,Contrario,Non ha votato,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole
FORCINITI FRANCESCO,307720,MISTO,2018-03-23,Non ha votato,Non ha votato,Non ha votato,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Astensione,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Astensione,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Astensione,Favorevole,Favorevole,Astensione,Favorevole,Contrario,Contrario,Favorevole,Non ha votato
SCUTELLA' ELISA,307722,M5S,2018-03-27,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MELICCHIO ALESSANDRO,307724,M5S,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Contrario,Favorevole,Non ha votato,Favorevole
