senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/29132,Bruno,Marton,M,19,2022-10-13,,elettivo,,1969-09-28,Varedo,Monza e Brianza,Italia
http://dati.senato.it/senatore/36440,Domenico,Matera,M,19,2022-10-13,,elettivo,,1965-05-19,BENEVENTO,Benevento,Italia
http://dati.senato.it/senatore/36406,Orfeo,Mazzella,M,19,2022-10-13,,elettivo,,1965-09-30,Cercola,Napoli,Italia
http://dati.senato.it/senatore/36407,Filippo,Melchiorre,M,19,2022-10-13,,elettivo,,1966-05-07,Bari,Bari,Italia
http://dati.senato.it/senatore/29490,Marco,Meloni,M,19,2022-10-13,,elettivo,,1971-06-16,Quartu Sant'Elena,Cagliari,Italia
http://dati.senato.it/senatore/1558,Roberto,Menia,M,19,2022-10-13,,elettivo,,1961-12-03,Pieve Di Cadore,Belluno,Italia
http://dati.senato.it/senatore/34558,Lavinia,Mennuni,F,19,2022-10-13,,elettivo,,1976-04-17,Southampton,,Regno Unito
http://dati.senato.it/senatore/1579,Gianfranco,Micciche',M,19,2022-10-13,2023-01-18,elettivo,Dimissioni per incompatibilità,1954-04-01,Palermo,Palermo,Italia
http://dati.senato.it/senatore/36408,Ester,Mieli,F,19,2022-10-13,,elettivo,,1976-04-22,Roma,Roma,Italia
http://dati.senato.it/senatore/36013,Tilde,Minasi,F,19,2022-10-13,,elettivo,,1960-07-24,Reggio Di Calabria,Reggio di Calabria,Italia
http://dati.senato.it/senatore/29138,Franco,Mirabelli,M,19,2022-10-13,,elettivo,,1960-02-09,Milano,Milano,Italia
http://dati.senato.it/senatore/23011,Antonio,Misiani,M,19,2022-10-13,,elettivo,,1968-09-04,Bergamo,Bergamo,Italia
http://dati.senato.it/senatore/28543,Mario,Monti,M,19,2022-10-13,,"a vita, di nomina del Presidente della Repubblica",,1943-03-19,Varese,Varese,Italia
http://dati.senato.it/senatore/32988,Alessandro,Morelli,M,19,2022-10-13,,elettivo,,1977-05-09,VIZZOLO PREDABISSI,Milano,Italia
http://dati.senato.it/senatore/33110,Elena,Murelli,F,19,2022-10-13,,elettivo,,1975-07-29,Piacenza,Piacenza,Italia
http://dati.senato.it/senatore/36409,Dafne,Musolino,F,19,2022-10-13,,elettivo,,1974-12-04,Messina,Messina,Italia
http://dati.senato.it/senatore/28306,Nello,Musumeci,M,19,2022-10-13,,elettivo,,1955-01-21,Militello In Val Di Catania,Catania,Italia
